104,Steamhouse Lounge,https://www.yelp.com/biz/steamhouse-lounge-atlanta-2?osq=Restaurants
105,E Ramen +,https://www.yelp.com/biz/e-ramen-atlanta-2?osq=Restaurants
106,a mano,https://www.yelp.com/biz/a-mano-atlanta-2?osq=Restaurants
107,Valenza,https://www.yelp.com/biz/valenza-atlanta?osq=Restaurants
108,Pasta Da Pulcinella,https://www.yelp.com/biz/pasta-da-pulcinella-atlanta?osq=Restaurants
109,Punch Bowl Social Atlanta,https://www.yelp.com/biz/punch-bowl-social-atlanta-atlanta?osq=Restaurants
110,Truva Turkish Kitchen,https://www.yelp.com/biz/truva-turkish-kitchen-atlanta?osq=Restaurants
111,Woody’s CheeseSteaks,https://www.yelp.com/biz/woodys-cheesesteaks-atlanta-2?osq=Restaurants
112,Nina & Rafi,https://www.yelp.com/biz/nina-and-rafi-atlanta-2?osq=Restaurants
113,Krab Queenz,https://www.yelp.com/biz/krab-queenz-atlanta?osq=Restaurants
114,No Mas! Cantina,https://www.yelp.com/biz/no-mas-cantina-atlanta-2?osq=Restaurants
115,Rreal Tacos,https://www.yelp.com/biz/rreal-tacos-atlanta?osq=Restaurants
116,Nowak’s,https://www.yelp.com/biz/nowaks-atlanta-2?osq=Restaurants
117,Superica,https://www.yelp.com/biz/superica-atlanta-4?osq=Restaurants
118,Marlow’s Tavern,https://www.yelp.com/biz/marlows-tavern-atlanta-4?osq=Restaurants
119,Eight Sushi Lounge,https://www.yelp.com/biz/eight-sushi-lounge-atlanta?osq=Restaurants
120,BeetleCat,https://www.yelp.com/biz/beetlecat-atlanta?osq=Restaurants
121,Varuni Napoli,https://www.yelp.com/biz/varuni-napoli-atlanta?osq=Restaurants
122,Home Grown,https://www.yelp.com/biz/home-grown-atlanta?osq=Restaurants
123,Botanico,https://www.yelp.com/biz/botanico-atlanta?osq=Restaurants
124,King + Duke,https://www.yelp.com/biz/king-duke-atlanta?osq=Restaurants
125,Alma Cocina - Downtown,https://www.yelp.com/biz/alma-cocina-downtown-atlanta?osq=Restaurants
126,"Tom, Dick & Hank",https://www.yelp.com/biz/tom-dick-and-hank-atlanta-3?osq=Restaurants
127,Bismillah Cafe,https://www.yelp.com/biz/bismillah-cafe-atlanta?osq=Restaurants
128,Wrecking Bar Brewpub,https://www.yelp.com/biz/wrecking-bar-brewpub-atlanta?osq=Restaurants
129,Tuk Tuk Thai Food Loft,https://www.yelp.com/biz/tuk-tuk-thai-food-loft-atlanta?osq=Restaurants
130,Plant Based Pizzeria,https://www.yelp.com/biz/plant-based-pizzeria-no-title?osq=Restaurants
131,Gaja Korean Bar,https://www.yelp.com/biz/gaja-korean-bar-atlanta?osq=Restaurants
132,Eclipse Di Luna,https://www.yelp.com/biz/eclipse-di-luna-atlanta?osq=Restaurants
133,Bon Ton,https://www.yelp.com/biz/bon-ton-atlanta?osq=Restaurants
134,Anh’s Kitchen,https://www.yelp.com/biz/anhs-kitchen-atlanta-2?osq=Restaurants
135,So Kong Dong Tofu House,https://www.yelp.com/biz/so-kong-dong-tofu-house-atlanta?osq=Restaurants
136,Barcelona Westside Ironworks,https://www.yelp.com/biz/barcelona-westside-ironworks-atlanta?osq=Restaurants
137,Ammazza,https://www.yelp.com/biz/ammazza-atlanta?osq=Restaurants
138,Ticonderoga Club,https://www.yelp.com/biz/ticonderoga-club-atlanta?osq=Restaurants
139,Publico Kitchen & Tap,https://www.yelp.com/biz/publico-kitchen-and-tap-atlanta?osq=Restaurants
140,The Nook On Piedmont Park,https://www.yelp.com/biz/the-nook-on-piedmont-park-atlanta?osq=Restaurants
141,Mushi Ni,https://www.yelp.com/biz/mushi-ni-atlanta-3?osq=Restaurants
142,Kaleidoscope Bistro & Pub,https://www.yelp.com/biz/kaleidoscope-bistro-and-pub-atlanta-2?osq=Restaurants
143,Truva Turkish Kitchen,https://www.yelp.com/biz/truva-turkish-kitchen-atlanta-4?osq=Restaurants
144,Nancy’s Pizza,https://www.yelp.com/biz/nancys-chicago-pizza-atlanta?osq=Restaurants
145,Gyu-Kaku Japanese BBQ,https://www.yelp.com/biz/gyu-kaku-japanese-bbq-atlanta?osq=Restaurants
146,Storico Fresco Alimentari e Ristorante,https://www.yelp.com/biz/storico-fresco-alimentari-e-ristorante-atlanta?osq=Restaurants
147,Little Bear,https://www.yelp.com/biz/little-bear-atlanta?osq=Restaurants
148,26 Thai Kitchen & Bar at Midtown,https://www.yelp.com/biz/26-thai-kitchen-and-bar-at-midtown-atlanta?osq=Restaurants
149,Jai Ho Indian Kitchen & Bar,https://www.yelp.com/biz/jai-ho-indian-kitchen-and-bar-atlanta?osq=Restaurants
150,The Original El Taco,https://www.yelp.com/biz/the-original-el-taco-atlanta?osq=Restaurants
151,Agavero Cantina - Atlanta,https://www.yelp.com/biz/agavero-cantina-atlanta-atlanta?osq=Restaurants
152,Silom Thai & Sushi,https://www.yelp.com/biz/silom-thai-and-sushi-atlanta?osq=Restaurants
153,Mediterranean Grill,https://www.yelp.com/biz/mediterranean-grill-atlanta?osq=Restaurants
